"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",4,0,0,0
"5",1,1,0,0
"6",1,0,1,0
"7",1,1,1,1
"8",1,1,1,2
"9",1,1,1,3
"10",1,1,1,4
"11",2,1,0,0
"12",2,2,0,0
"13",2,0,1,0
"14",2,0,2,0
"15",2,1,1,1
"16",2,1,1,2
"17",2,1,1,3
"18",2,1,1,4
"19",3,1,0,0
"20",3,2,0,0
"21",3,3,0,0
"22",3,0,1,0
"23",3,0,2,0
"24",3,0,3,0
"25",3,1,1,1
"26",3,1,1,2
"27",3,1,1,3
"28",3,1,1,4
"29",4,1,0,0
"30",4,2,0,0
"31",4,3,0,0
"32",4,4,0,0
"33",4,0,1,0
"34",4,0,2,0
"35",4,0,3,0
"36",4,0,4,0
"37",4,1,1,1
"38",4,1,1,2
"39",4,1,1,3
"40",4,1,1,4
"41",1,1,1,0
"42",2,1,1,0
"43",2,1,2,0
"44",3,1,1,0
"45",3,1,2,0
"46",3,1,3,0
"47",4,1,1,0
"48",4,1,2,0
"49",4,1,3,0
"50",4,1,4,0
"51",2,2,1,0
"52",2,2,2,0
"53",2,2,1,1
"54",2,2,1,2
"55",2,2,1,3
"56",2,2,1,4
"57",3,2,1,0
"58",3,2,2,0
"59",3,2,3,0
"60",3,2,1,1
"61",3,2,1,2
"62",3,2,1,3
"63",3,2,1,4
"64",4,2,1,0
"65",4,2,2,0
"66",4,2,3,0
"67",4,2,4,0
"68",4,2,1,1
"69",4,2,1,2
"70",4,2,1,3
"71",4,2,1,4
"72",3,3,1,0
"73",3,3,2,0
"74",3,3,3,0
"75",3,3,1,1
"76",3,3,1,2
"77",3,3,1,3
"78",3,3,1,4
"79",4,3,1,0
"80",4,3,2,0
"81",4,3,3,0
"82",4,3,4,0
"83",4,3,1,1
"84",4,3,1,2
"85",4,3,1,3
"86",4,3,1,4
"87",4,4,1,0
"88",4,4,2,0
"89",4,4,3,0
"90",4,4,4,0
"91",4,4,1,1
"92",4,4,1,2
"93",4,4,1,3
"94",4,4,1,4
"95",2,1,2,1
"96",2,1,2,2
"97",2,1,2,3
"98",2,1,2,4
"99",3,1,2,1
"100",3,1,2,2
"101",3,1,2,3
"102",3,1,2,4
"103",4,1,2,1
"104",4,1,2,2
"105",4,1,2,3
"106",4,1,2,4
"107",2,2,2,1
"108",2,2,2,2
"109",2,2,2,3
"110",2,2,2,4
"111",3,2,2,1
"112",3,2,2,2
"113",3,2,2,3
"114",3,2,2,4
"115",4,2,2,1
"116",4,2,2,2
"117",4,2,2,3
"118",4,2,2,4
"119",3,3,2,1
"120",3,3,2,2
"121",3,3,2,3
"122",3,3,2,4
"123",4,3,2,1
"124",4,3,2,2
"125",4,3,2,3
"126",4,3,2,4
"127",4,4,2,1
"128",4,4,2,2
"129",4,4,2,3
"130",4,4,2,4
"131",3,1,3,1
"132",3,1,3,2
"133",3,1,3,3
"134",3,1,3,4
"135",4,1,3,1
"136",4,1,3,2
"137",4,1,3,3
"138",4,1,3,4
"139",3,2,3,1
"140",3,2,3,2
"141",3,2,3,3
"142",3,2,3,4
"143",4,2,3,1
"144",4,2,3,2
"145",4,2,3,3
"146",4,2,3,4
"147",3,3,3,1
"148",3,3,3,2
"149",3,3,3,3
"150",3,3,3,4
"151",4,3,3,1
"152",4,3,3,2
"153",4,3,3,3
"154",4,3,3,4
"155",4,4,3,1
"156",4,4,3,2
"157",4,4,3,3
"158",4,4,3,4
"159",4,1,4,1
"160",4,1,4,2
"161",4,1,4,3
"162",4,1,4,4
"163",4,2,4,1
"164",4,2,4,2
"165",4,2,4,3
"166",4,2,4,4
"167",4,3,4,1
"168",4,3,4,2
"169",4,3,4,3
"170",4,3,4,4
"171",4,4,4,1
"172",4,4,4,2
"173",4,4,4,3
"174",4,4,4,4
