"","V1","V2","V3"
"1",1,0,0
"2",2,0,0
"3",3,0,0
"4",4,0,0
"5",1,1,0
"6",1,0,1
"7",2,1,0
"8",2,2,0
"9",2,0,1
"10",2,0,2
"11",3,1,0
"12",3,2,0
"13",3,3,0
"14",3,0,1
"15",3,0,2
"16",3,0,3
"17",4,1,0
"18",4,2,0
"19",4,3,0
"20",4,4,0
"21",4,0,1
"22",4,0,2
"23",4,0,3
"24",4,0,4
"25",1,1,1
"26",2,1,1
"27",2,1,2
"28",3,1,1
"29",3,1,2
"30",3,1,3
"31",4,1,1
"32",4,1,2
"33",4,1,3
"34",4,1,4
"35",2,2,1
"36",2,2,2
"37",3,2,1
"38",3,2,2
"39",3,2,3
"40",4,2,1
"41",4,2,2
"42",4,2,3
"43",4,2,4
"44",3,3,1
"45",3,3,2
"46",3,3,3
"47",4,3,1
"48",4,3,2
"49",4,3,3
"50",4,3,4
"51",4,4,1
"52",4,4,2
"53",4,4,3
"54",4,4,4
