"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",4,0,0,0
"5",1,1,0,0
"6",1,1,1,0
"7",1,0,0,1
"8",1,0,0,2
"9",1,0,0,3
"10",1,0,0,4
"11",2,1,0,0
"12",2,2,0,0
"13",2,1,1,0
"14",2,1,2,0
"15",2,0,0,1
"16",2,0,0,2
"17",2,0,0,3
"18",2,0,0,4
"19",3,1,0,0
"20",3,2,0,0
"21",3,3,0,0
"22",3,1,1,0
"23",3,1,2,0
"24",3,1,3,0
"25",3,0,0,1
"26",3,0,0,2
"27",3,0,0,3
"28",3,0,0,4
"29",4,1,0,0
"30",4,2,0,0
"31",4,3,0,0
"32",4,4,0,0
"33",4,1,1,0
"34",4,1,2,0
"35",4,1,3,0
"36",4,1,4,0
"37",4,0,0,1
"38",4,0,0,2
"39",4,0,0,3
"40",4,0,0,4
"41",1,1,0,1
"42",1,1,0,2
"43",1,1,0,3
"44",1,1,0,4
"45",2,1,0,1
"46",2,1,0,2
"47",2,1,0,3
"48",2,1,0,4
"49",3,1,0,1
"50",3,1,0,2
"51",3,1,0,3
"52",3,1,0,4
"53",4,1,0,1
"54",4,1,0,2
"55",4,1,0,3
"56",4,1,0,4
"57",2,2,1,0
"58",2,2,2,0
"59",2,2,0,1
"60",2,2,0,2
"61",2,2,0,3
"62",2,2,0,4
"63",3,2,1,0
"64",3,2,2,0
"65",3,2,3,0
"66",3,2,0,1
"67",3,2,0,2
"68",3,2,0,3
"69",3,2,0,4
"70",4,2,1,0
"71",4,2,2,0
"72",4,2,3,0
"73",4,2,4,0
"74",4,2,0,1
"75",4,2,0,2
"76",4,2,0,3
"77",4,2,0,4
"78",3,3,1,0
"79",3,3,2,0
"80",3,3,3,0
"81",3,3,0,1
"82",3,3,0,2
"83",3,3,0,3
"84",3,3,0,4
"85",4,3,1,0
"86",4,3,2,0
"87",4,3,3,0
"88",4,3,4,0
"89",4,3,0,1
"90",4,3,0,2
"91",4,3,0,3
"92",4,3,0,4
"93",4,4,1,0
"94",4,4,2,0
"95",4,4,3,0
"96",4,4,4,0
"97",4,4,0,1
"98",4,4,0,2
"99",4,4,0,3
"100",4,4,0,4
"101",1,1,1,1
"102",1,1,1,2
"103",1,1,1,3
"104",1,1,1,4
"105",2,1,1,1
"106",2,1,1,2
"107",2,1,1,3
"108",2,1,1,4
"109",3,1,1,1
"110",3,1,1,2
"111",3,1,1,3
"112",3,1,1,4
"113",4,1,1,1
"114",4,1,1,2
"115",4,1,1,3
"116",4,1,1,4
"117",2,2,1,1
"118",2,2,1,2
"119",2,2,1,3
"120",2,2,1,4
"121",3,2,1,1
"122",3,2,1,2
"123",3,2,1,3
"124",3,2,1,4
"125",4,2,1,1
"126",4,2,1,2
"127",4,2,1,3
"128",4,2,1,4
"129",3,3,1,1
"130",3,3,1,2
"131",3,3,1,3
"132",3,3,1,4
"133",4,3,1,1
"134",4,3,1,2
"135",4,3,1,3
"136",4,3,1,4
"137",4,4,1,1
"138",4,4,1,2
"139",4,4,1,3
"140",4,4,1,4
"141",2,1,2,1
"142",2,1,2,2
"143",2,1,2,3
"144",2,1,2,4
"145",3,1,2,1
"146",3,1,2,2
"147",3,1,2,3
"148",3,1,2,4
"149",4,1,2,1
"150",4,1,2,2
"151",4,1,2,3
"152",4,1,2,4
"153",2,2,2,1
"154",2,2,2,2
"155",2,2,2,3
"156",2,2,2,4
"157",3,2,2,1
"158",3,2,2,2
"159",3,2,2,3
"160",3,2,2,4
"161",4,2,2,1
"162",4,2,2,2
"163",4,2,2,3
"164",4,2,2,4
"165",3,3,2,1
"166",3,3,2,2
"167",3,3,2,3
"168",3,3,2,4
"169",4,3,2,1
"170",4,3,2,2
"171",4,3,2,3
"172",4,3,2,4
"173",4,4,2,1
"174",4,4,2,2
"175",4,4,2,3
"176",4,4,2,4
"177",3,1,3,1
"178",3,1,3,2
"179",3,1,3,3
"180",3,1,3,4
"181",4,1,3,1
"182",4,1,3,2
"183",4,1,3,3
"184",4,1,3,4
"185",3,2,3,1
"186",3,2,3,2
"187",3,2,3,3
"188",3,2,3,4
"189",4,2,3,1
"190",4,2,3,2
"191",4,2,3,3
"192",4,2,3,4
"193",3,3,3,1
"194",3,3,3,2
"195",3,3,3,3
"196",3,3,3,4
"197",4,3,3,1
"198",4,3,3,2
"199",4,3,3,3
"200",4,3,3,4
"201",4,4,3,1
"202",4,4,3,2
"203",4,4,3,3
"204",4,4,3,4
"205",4,1,4,1
"206",4,1,4,2
"207",4,1,4,3
"208",4,1,4,4
"209",4,2,4,1
"210",4,2,4,2
"211",4,2,4,3
"212",4,2,4,4
"213",4,3,4,1
"214",4,3,4,2
"215",4,3,4,3
"216",4,3,4,4
"217",4,4,4,1
"218",4,4,4,2
"219",4,4,4,3
"220",4,4,4,4
