"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",3,0,0,0,0
"4",1,1,0,0,0
"5",1,1,1,0,0
"6",1,0,0,1,0
"7",1,0,0,2,0
"8",1,0,0,3,0
"9",1,0,0,1,1
"10",1,0,0,1,2
"11",1,0,0,1,3
"12",2,1,0,0,0
"13",2,2,0,0,0
"14",2,1,1,0,0
"15",2,1,2,0,0
"16",2,0,0,1,0
"17",2,0,0,2,0
"18",2,0,0,3,0
"19",2,0,0,1,1
"20",2,0,0,1,2
"21",2,0,0,1,3
"22",3,1,0,0,0
"23",3,2,0,0,0
"24",3,3,0,0,0
"25",3,1,1,0,0
"26",3,1,2,0,0
"27",3,1,3,0,0
"28",3,0,0,1,0
"29",3,0,0,2,0
"30",3,0,0,3,0
"31",3,0,0,1,1
"32",3,0,0,1,2
"33",3,0,0,1,3
"34",1,1,0,1,0
"35",1,1,0,2,0
"36",1,1,0,3,0
"37",1,1,0,1,1
"38",1,1,0,1,2
"39",1,1,0,1,3
"40",2,1,0,1,0
"41",2,1,0,2,0
"42",2,1,0,3,0
"43",2,1,0,1,1
"44",2,1,0,1,2
"45",2,1,0,1,3
"46",3,1,0,1,0
"47",3,1,0,2,0
"48",3,1,0,3,0
"49",3,1,0,1,1
"50",3,1,0,1,2
"51",3,1,0,1,3
"52",2,2,1,0,0
"53",2,2,2,0,0
"54",2,2,0,1,0
"55",2,2,0,2,0
"56",2,2,0,3,0
"57",2,2,0,1,1
"58",2,2,0,1,2
"59",2,2,0,1,3
"60",3,2,1,0,0
"61",3,2,2,0,0
"62",3,2,3,0,0
"63",3,2,0,1,0
"64",3,2,0,2,0
"65",3,2,0,3,0
"66",3,2,0,1,1
"67",3,2,0,1,2
"68",3,2,0,1,3
"69",3,3,1,0,0
"70",3,3,2,0,0
"71",3,3,3,0,0
"72",3,3,0,1,0
"73",3,3,0,2,0
"74",3,3,0,3,0
"75",3,3,0,1,1
"76",3,3,0,1,2
"77",3,3,0,1,3
"78",1,1,1,1,0
"79",1,1,1,2,0
"80",1,1,1,3,0
"81",1,1,1,1,1
"82",1,1,1,1,2
"83",1,1,1,1,3
"84",2,1,1,1,0
"85",2,1,1,2,0
"86",2,1,1,3,0
"87",2,1,1,1,1
"88",2,1,1,1,2
"89",2,1,1,1,3
"90",3,1,1,1,0
"91",3,1,1,2,0
"92",3,1,1,3,0
"93",3,1,1,1,1
"94",3,1,1,1,2
"95",3,1,1,1,3
"96",2,2,1,1,0
"97",2,2,1,2,0
"98",2,2,1,3,0
"99",2,2,1,1,1
"100",2,2,1,1,2
"101",2,2,1,1,3
"102",3,2,1,1,0
"103",3,2,1,2,0
"104",3,2,1,3,0
"105",3,2,1,1,1
"106",3,2,1,1,2
"107",3,2,1,1,3
"108",3,3,1,1,0
"109",3,3,1,2,0
"110",3,3,1,3,0
"111",3,3,1,1,1
"112",3,3,1,1,2
"113",3,3,1,1,3
"114",2,1,2,1,0
"115",2,1,2,2,0
"116",2,1,2,3,0
"117",2,1,2,1,1
"118",2,1,2,1,2
"119",2,1,2,1,3
"120",3,1,2,1,0
"121",3,1,2,2,0
"122",3,1,2,3,0
"123",3,1,2,1,1
"124",3,1,2,1,2
"125",3,1,2,1,3
"126",2,2,2,1,0
"127",2,2,2,2,0
"128",2,2,2,3,0
"129",2,2,2,1,1
"130",2,2,2,1,2
"131",2,2,2,1,3
"132",3,2,2,1,0
"133",3,2,2,2,0
"134",3,2,2,3,0
"135",3,2,2,1,1
"136",3,2,2,1,2
"137",3,2,2,1,3
"138",3,3,2,1,0
"139",3,3,2,2,0
"140",3,3,2,3,0
"141",3,3,2,1,1
"142",3,3,2,1,2
"143",3,3,2,1,3
"144",3,1,3,1,0
"145",3,1,3,2,0
"146",3,1,3,3,0
"147",3,1,3,1,1
