"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",4,0,0,0
"5",1,1,0,0
"6",1,1,1,0
"7",1,1,1,1
"8",1,1,1,2
"9",1,1,1,3
"10",1,1,1,4
"11",2,1,0,0
"12",2,2,0,0
"13",2,1,1,0
"14",2,1,2,0
"15",2,1,1,1
"16",2,1,1,2
"17",2,1,1,3
"18",2,1,1,4
"19",3,1,0,0
"20",3,2,0,0
"21",3,3,0,0
"22",3,1,1,0
"23",3,1,2,0
"24",3,1,3,0
"25",3,1,1,1
"26",3,1,1,2
"27",3,1,1,3
"28",3,1,1,4
"29",4,1,0,0
"30",4,2,0,0
"31",4,3,0,0
"32",4,4,0,0
"33",4,1,1,0
"34",4,1,2,0
"35",4,1,3,0
"36",4,1,4,0
"37",4,1,1,1
"38",4,1,1,2
"39",4,1,1,3
"40",4,1,1,4
"41",2,2,1,0
"42",2,2,2,0
"43",2,2,1,1
"44",2,2,1,2
"45",2,2,1,3
"46",2,2,1,4
"47",3,2,1,0
"48",3,2,2,0
"49",3,2,3,0
"50",3,2,1,1
"51",3,2,1,2
"52",3,2,1,3
"53",3,2,1,4
"54",4,2,1,0
"55",4,2,2,0
"56",4,2,3,0
"57",4,2,4,0
"58",4,2,1,1
"59",4,2,1,2
"60",4,2,1,3
"61",4,2,1,4
"62",3,3,1,0
"63",3,3,2,0
"64",3,3,3,0
"65",3,3,1,1
"66",3,3,1,2
"67",3,3,1,3
"68",3,3,1,4
"69",4,3,1,0
"70",4,3,2,0
"71",4,3,3,0
"72",4,3,4,0
"73",4,3,1,1
"74",4,3,1,2
"75",4,3,1,3
"76",4,3,1,4
"77",4,4,1,0
"78",4,4,2,0
"79",4,4,3,0
"80",4,4,4,0
"81",4,4,1,1
"82",4,4,1,2
"83",4,4,1,3
"84",4,4,1,4
"85",2,1,2,1
"86",2,1,2,2
"87",2,1,2,3
"88",2,1,2,4
"89",3,1,2,1
"90",3,1,2,2
"91",3,1,2,3
"92",3,1,2,4
"93",4,1,2,1
"94",4,1,2,2
"95",4,1,2,3
"96",4,1,2,4
"97",2,2,2,1
"98",2,2,2,2
"99",2,2,2,3
"100",2,2,2,4
"101",3,2,2,1
"102",3,2,2,2
"103",3,2,2,3
"104",3,2,2,4
"105",4,2,2,1
"106",4,2,2,2
"107",4,2,2,3
"108",4,2,2,4
"109",3,3,2,1
"110",3,3,2,2
"111",3,3,2,3
"112",3,3,2,4
"113",4,3,2,1
"114",4,3,2,2
"115",4,3,2,3
"116",4,3,2,4
"117",4,4,2,1
"118",4,4,2,2
"119",4,4,2,3
"120",4,4,2,4
"121",3,1,3,1
"122",3,1,3,2
"123",3,1,3,3
"124",3,1,3,4
"125",4,1,3,1
"126",4,1,3,2
"127",4,1,3,3
"128",4,1,3,4
"129",3,2,3,1
"130",3,2,3,2
"131",3,2,3,3
"132",3,2,3,4
"133",4,2,3,1
"134",4,2,3,2
"135",4,2,3,3
"136",4,2,3,4
"137",3,3,3,1
"138",3,3,3,2
"139",3,3,3,3
"140",3,3,3,4
"141",4,3,3,1
"142",4,3,3,2
"143",4,3,3,3
"144",4,3,3,4
"145",4,4,3,1
"146",4,4,3,2
"147",4,4,3,3
"148",4,4,3,4
"149",4,1,4,1
"150",4,1,4,2
"151",4,1,4,3
"152",4,1,4,4
"153",4,2,4,1
"154",4,2,4,2
"155",4,2,4,3
"156",4,2,4,4
"157",4,3,4,1
"158",4,3,4,2
"159",4,3,4,3
"160",4,3,4,4
"161",4,4,4,1
"162",4,4,4,2
"163",4,4,4,3
"164",4,4,4,4
