"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",3,0,0,0,0
"4",4,0,0,0,0
"5",1,1,0,0,0
"6",1,1,1,0,0
"7",1,1,1,1,0
"8",1,1,1,2,0
"9",1,1,1,3,0
"10",1,1,1,4,0
"11",1,1,1,1,1
"12",1,1,1,1,2
"13",1,1,1,1,3
"14",1,1,1,1,4
"15",2,1,0,0,0
"16",2,2,0,0,0
"17",2,1,1,0,0
"18",2,1,2,0,0
"19",2,1,1,1,0
"20",2,1,1,2,0
"21",2,1,1,3,0
"22",2,1,1,4,0
"23",2,1,1,1,1
"24",2,1,1,1,2
"25",2,1,1,1,3
"26",2,1,1,1,4
"27",3,1,0,0,0
"28",3,2,0,0,0
"29",3,3,0,0,0
"30",3,1,1,0,0
"31",3,1,2,0,0
"32",3,1,3,0,0
"33",3,1,1,1,0
"34",3,1,1,2,0
"35",3,1,1,3,0
"36",3,1,1,4,0
"37",3,1,1,1,1
"38",3,1,1,1,2
"39",3,1,1,1,3
"40",3,1,1,1,4
"41",4,1,0,0,0
"42",4,2,0,0,0
"43",4,3,0,0,0
"44",4,4,0,0,0
"45",4,1,1,0,0
"46",4,1,2,0,0
"47",4,1,3,0,0
"48",4,1,4,0,0
"49",4,1,1,1,0
"50",4,1,1,2,0
"51",4,1,1,3,0
"52",4,1,1,4,0
"53",4,1,1,1,1
"54",4,1,1,1,2
"55",4,1,1,1,3
"56",4,1,1,1,4
"57",2,2,1,0,0
"58",2,2,2,0,0
"59",2,2,1,1,0
"60",2,2,1,2,0
"61",2,2,1,3,0
"62",2,2,1,4,0
"63",2,2,1,1,1
"64",2,2,1,1,2
"65",2,2,1,1,3
"66",2,2,1,1,4
"67",3,2,1,0,0
"68",3,2,2,0,0
"69",3,2,3,0,0
"70",3,2,1,1,0
"71",3,2,1,2,0
"72",3,2,1,3,0
"73",3,2,1,4,0
"74",3,2,1,1,1
"75",3,2,1,1,2
"76",3,2,1,1,3
"77",3,2,1,1,4
"78",4,2,1,0,0
"79",4,2,2,0,0
"80",4,2,3,0,0
"81",4,2,4,0,0
"82",4,2,1,1,0
"83",4,2,1,2,0
"84",4,2,1,3,0
"85",4,2,1,4,0
"86",4,2,1,1,1
"87",4,2,1,1,2
"88",4,2,1,1,3
"89",4,2,1,1,4
"90",3,3,1,0,0
"91",3,3,2,0,0
"92",3,3,3,0,0
"93",3,3,1,1,0
"94",3,3,1,2,0
"95",3,3,1,3,0
"96",3,3,1,4,0
"97",3,3,1,1,1
"98",3,3,1,1,2
"99",3,3,1,1,3
"100",3,3,1,1,4
"101",4,3,1,0,0
"102",4,3,2,0,0
"103",4,3,3,0,0
"104",4,3,4,0,0
"105",4,3,1,1,0
"106",4,3,1,2,0
"107",4,3,1,3,0
"108",4,3,1,4,0
"109",4,3,1,1,1
"110",4,3,1,1,2
"111",4,3,1,1,3
"112",4,3,1,1,4
"113",4,4,1,0,0
"114",4,4,2,0,0
"115",4,4,3,0,0
"116",4,4,4,0,0
"117",4,4,1,1,0
"118",4,4,1,2,0
"119",4,4,1,3,0
"120",4,4,1,4,0
"121",4,4,1,1,1
"122",4,4,1,1,2
"123",4,4,1,1,3
"124",4,4,1,1,4
"125",2,1,2,1,0
"126",2,1,2,2,0
"127",2,1,2,3,0
"128",2,1,2,4,0
"129",2,1,2,1,1
"130",2,1,2,1,2
"131",2,1,2,1,3
"132",2,1,2,1,4
"133",3,1,2,1,0
"134",3,1,2,2,0
"135",3,1,2,3,0
"136",3,1,2,4,0
"137",3,1,2,1,1
"138",3,1,2,1,2
"139",3,1,2,1,3
"140",3,1,2,1,4
"141",4,1,2,1,0
"142",4,1,2,2,0
"143",4,1,2,3,0
"144",4,1,2,4,0
"145",4,1,2,1,1
"146",4,1,2,1,2
"147",4,1,2,1,3
