"","V1","V2","V3"
"1",1,0,0
"2",2,0,0
"3",3,0,0
"4",4,0,0
"5",0,1,0
"6",0,2,0
"7",0,3,0
"8",0,4,0
"9",1,1,1
"10",1,1,0
"11",1,2,0
"12",1,3,0
"13",1,4,0
"14",2,1,0
"15",2,2,0
"16",2,3,0
"17",2,4,0
"18",2,1,1
"19",3,1,0
"20",3,2,0
"21",3,3,0
"22",3,4,0
"23",3,1,1
"24",4,1,0
"25",4,2,0
"26",4,3,0
"27",4,4,0
"28",4,1,1
"29",1,2,1
"30",2,2,1
"31",2,2,2
"32",3,2,1
"33",3,2,2
"34",4,2,1
"35",4,2,2
"36",1,3,1
"37",2,3,1
"38",2,3,2
"39",3,3,1
"40",3,3,2
"41",3,3,3
"42",4,3,1
"43",4,3,2
"44",4,3,3
"45",1,4,1
"46",2,4,1
"47",2,4,2
"48",3,4,1
"49",3,4,2
"50",3,4,3
"51",4,4,1
"52",4,4,2
"53",4,4,3
"54",4,4,4
"55",0,0,0
