"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",1,1,0,0
"5",1,0,1,0
"6",1,1,1,1
"7",2,1,0,0
"8",2,2,0,0
"9",2,0,1,0
"10",2,0,2,0
"11",2,1,1,1
"12",3,1,0,0
"13",3,2,0,0
"14",3,3,0,0
"15",3,0,1,0
"16",3,0,2,0
"17",3,0,3,0
"18",3,1,1,1
"19",1,1,1,0
"20",2,1,1,0
"21",2,1,2,0
"22",3,1,1,0
"23",3,1,2,0
"24",3,1,3,0
"25",2,2,1,0
"26",2,2,2,0
"27",2,2,1,1
"28",3,2,1,0
"29",3,2,2,0
"30",3,2,3,0
"31",3,2,1,1
"32",3,3,1,0
"33",3,3,2,0
"34",3,3,3,0
"35",3,3,1,1
"36",2,1,2,1
"37",3,1,2,1
"38",2,2,2,1
"39",2,2,2,2
"40",3,2,2,1
"41",3,2,2,2
"42",3,3,2,1
"43",3,3,2,2
"44",3,1,3,1
"45",3,2,3,1
"46",3,2,3,2
"47",3,3,3,1
"48",3,3,3,2
"49",3,3,3,3
"50",0,0,0,0
