"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",3,0,0,0,0
"4",1,1,0,0,0
"5",1,1,1,0,0
"6",1,1,0,1,0
"7",1,1,1,1,1
"8",2,1,0,0,0
"9",2,2,0,0,0
"10",2,1,1,0,0
"11",2,1,0,1,0
"12",2,1,1,1,1
"13",3,1,0,0,0
"14",3,2,0,0,0
"15",3,3,0,0,0
"16",3,1,1,0,0
"17",3,1,0,1,0
"18",3,1,1,1,1
"19",2,2,1,0,0
"20",2,2,2,0,0
"21",2,2,0,1,0
"22",2,2,0,2,0
"23",2,2,1,1,1
"24",3,2,1,0,0
"25",3,2,2,0,0
"26",3,2,0,1,0
"27",3,2,0,2,0
"28",3,2,1,1,1
"29",3,3,1,0,0
"30",3,3,2,0,0
"31",3,3,3,0,0
"32",3,3,0,1,0
"33",3,3,0,2,0
"34",3,3,0,3,0
"35",3,3,1,1,1
"36",1,1,1,1,0
"37",2,1,1,1,0
"38",3,1,1,1,0
"39",2,2,1,1,0
"40",2,2,1,2,0
"41",3,2,1,1,0
"42",3,2,1,2,0
"43",3,3,1,1,0
"44",3,3,1,2,0
"45",3,3,1,3,0
"46",2,2,2,1,0
"47",2,2,2,2,0
"48",2,2,2,1,1
"49",3,2,2,1,0
"50",3,2,2,2,0
"51",3,2,2,1,1
"52",3,3,2,1,0
"53",3,3,2,2,0
"54",3,3,2,3,0
"55",3,3,2,1,1
"56",3,3,3,1,0
"57",3,3,3,2,0
"58",3,3,3,3,0
"59",3,3,3,1,1
"60",2,2,1,2,1
"61",3,2,1,2,1
"62",3,3,1,2,1
"63",2,2,2,2,1
"64",2,2,2,2,2
"65",3,2,2,2,1
"66",3,2,2,2,2
"67",3,3,2,2,1
"68",3,3,2,2,2
"69",3,3,3,2,1
"70",3,3,3,2,2
"71",3,3,1,3,1
"72",3,3,2,3,1
"73",3,3,2,3,2
"74",3,3,3,3,1
"75",3,3,3,3,2
"76",3,3,3,3,3
"77",0,0,0,0,0
