"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",1,1,0,0
"5",1,0,1,0
"6",1,0,1,1
"7",2,1,0,0
"8",2,2,0,0
"9",2,0,1,0
"10",2,0,2,0
"11",2,0,1,1
"12",3,1,0,0
"13",3,2,0,0
"14",3,3,0,0
"15",3,0,1,0
"16",3,0,2,0
"17",3,0,3,0
"18",3,0,1,1
"19",1,1,1,0
"20",1,1,1,1
"21",2,1,1,0
"22",2,1,2,0
"23",2,1,1,1
"24",3,1,1,0
"25",3,1,2,0
"26",3,1,3,0
"27",3,1,1,1
"28",2,2,1,0
"29",2,2,2,0
"30",2,2,1,1
"31",3,2,1,0
"32",3,2,2,0
"33",3,2,3,0
"34",3,2,1,1
"35",3,3,1,0
"36",3,3,2,0
"37",3,3,3,0
"38",3,3,1,1
"39",2,0,2,1
"40",2,0,2,2
"41",3,0,2,1
"42",3,0,2,2
"43",2,1,2,1
"44",2,1,2,2
"45",3,1,2,1
"46",3,1,2,2
"47",2,2,2,1
"48",2,2,2,2
"49",3,2,2,1
"50",3,2,2,2
"51",3,3,2,1
"52",3,3,2,2
"53",3,0,3,1
"54",3,0,3,2
"55",3,0,3,3
"56",3,1,3,1
"57",3,1,3,2
"58",3,1,3,3
"59",3,2,3,1
"60",3,2,3,2
"61",3,2,3,3
"62",3,3,3,1
"63",3,3,3,2
"64",3,3,3,3
"65",0,0,0,0
