"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",1,1,0,0,0
"4",1,0,1,0,0
"5",1,0,1,1,0
"6",1,0,1,0,1
"7",2,1,0,0,0
"8",2,2,0,0,0
"9",2,0,1,0,0
"10",2,0,2,0,0
"11",2,0,1,1,0
"12",2,0,1,0,1
"13",1,1,1,0,0
"14",1,1,1,1,0
"15",1,1,1,0,1
"16",2,1,1,0,0
"17",2,1,2,0,0
"18",2,1,1,1,0
"19",2,1,1,0,1
"20",2,2,1,0,0
"21",2,2,2,0,0
"22",2,2,1,1,0
"23",2,2,1,0,1
"24",2,0,2,1,0
"25",2,0,2,2,0
"26",2,0,2,0,1
"27",2,0,2,0,2
"28",2,1,2,1,0
"29",2,1,2,2,0
"30",2,1,2,0,1
"31",2,1,2,0,2
"32",2,2,2,1,0
"33",2,2,2,2,0
"34",2,2,2,0,1
"35",2,2,2,0,2
"36",1,0,1,1,1
"37",2,0,1,1,1
"38",1,1,1,1,1
"39",2,1,1,1,1
"40",2,2,1,1,1
"41",2,0,2,1,1
"42",2,0,2,1,2
"43",2,1,2,1,1
"44",2,1,2,1,2
"45",2,2,2,1,1
"46",2,2,2,1,2
"47",2,0,2,2,1
"48",2,0,2,2,2
"49",2,1,2,2,1
"50",2,1,2,2,2
"51",2,2,2,2,1
"52",2,2,2,2,2
"53",0,0,0,0,0
