"","V1","V2","V3","V4","V5"
"V1",1,0,0,0,0
"V2",2,0,0,0,0
"V3",3,0,0,0,0
"V4",4,0,0,0,0
"V5",0,1,0,0,0
"V6",0,2,0,0,0
"V7",0,3,0,0,0
"V8",0,4,0,0,0
"V9",0,0,1,0,0
"V10",0,0,2,0,0
"V11",0,0,3,0,0
"V12",0,0,4,0,0
"V13",0,0,0,1,0
"V14",0,0,0,2,0
"V15",0,0,0,3,0
"V16",0,0,0,4,0
"V17",0,0,0,0,1
"V18",0,0,0,0,2
"V19",0,0,0,0,3
"V20",0,0,0,0,4
"Z",1,1,0,0,0
"Z",1,2,0,0,0
"Z",1,3,0,0,0
"Z",1,4,0,0,0
"Z",1,0,1,0,0
"Z",1,0,2,0,0
"Z",1,0,3,0,0
"Z",1,0,4,0,0
"Z",1,0,0,1,0
"Z",1,0,0,2,0
"Z",1,0,0,3,0
"Z",1,0,0,4,0
"Z",1,0,0,0,1
"Z",1,0,0,0,2
"Z",1,0,0,0,3
"Z",1,0,0,0,4
"Z",2,1,0,0,0
"Z",2,2,0,0,0
"Z",2,3,0,0,0
"Z",2,4,0,0,0
"Z",2,0,1,0,0
"Z",2,0,2,0,0
"Z",2,0,3,0,0
"Z",2,0,4,0,0
"Z",2,0,0,1,0
"Z",2,0,0,2,0
"Z",2,0,0,3,0
"Z",2,0,0,4,0
"Z",2,0,0,0,1
"Z",2,0,0,0,2
"Z",2,0,0,0,3
"Z",2,0,0,0,4
"Z",3,1,0,0,0
"Z",3,2,0,0,0
"Z",3,3,0,0,0
"Z",3,4,0,0,0
"Z",3,0,1,0,0
"Z",3,0,2,0,0
"Z",3,0,3,0,0
"Z",3,0,4,0,0
"Z",3,0,0,1,0
"Z",3,0,0,2,0
"Z",3,0,0,3,0
"Z",3,0,0,4,0
"Z",3,0,0,0,1
"Z",3,0,0,0,2
"Z",3,0,0,0,3
"Z",3,0,0,0,4
"Z",4,1,0,0,0
"Z",4,2,0,0,0
"Z",4,3,0,0,0
"Z",4,4,0,0,0
"Z",4,0,1,0,0
"Z",4,0,2,0,0
"Z",4,0,3,0,0
"Z",4,0,4,0,0
"Z",4,0,0,1,0
"Z",4,0,0,2,0
"Z",4,0,0,3,0
"Z",4,0,0,4,0
"Z",4,0,0,0,1
"Z",4,0,0,0,2
"Z",4,0,0,0,3
"Z",4,0,0,0,4
"Z",0,1,1,0,0
"Z",0,1,2,0,0
"Z",0,1,3,0,0
"Z",0,1,4,0,0
"Z",0,1,0,1,0
"Z",0,1,0,2,0
"Z",0,1,0,3,0
"Z",0,1,0,4,0
"Z",0,1,0,0,1
"Z",0,1,0,0,2
"Z",0,1,0,0,3
"Z",0,1,0,0,4
"Z",1,1,1,0,0
"Z",1,1,2,0,0
"Z",1,1,3,0,0
"Z",1,1,4,0,0
"Z",1,1,0,1,0
"Z",1,1,0,2,0
"Z",1,1,0,3,0
"Z",1,1,0,4,0
"Z",1,1,0,0,1
"Z",1,1,0,0,2
"Z",1,1,0,0,3
"Z",1,1,0,0,4
"Z",2,1,1,0,0
"Z",2,1,2,0,0
"Z",2,1,3,0,0
"Z",2,1,4,0,0
"Z",2,1,0,1,0
"Z",2,1,0,2,0
"Z",2,1,0,3,0
"Z",2,1,0,4,0
"Z",2,1,0,0,1
"Z",2,1,0,0,2
"Z",2,1,0,0,3
"Z",2,1,0,0,4
"Z",3,1,1,0,0
"Z",3,1,2,0,0
"Z",3,1,3,0,0
"Z",3,1,4,0,0
"Z",3,1,0,1,0
"Z",3,1,0,2,0
"Z",3,1,0,3,0
"Z",3,1,0,4,0
"Z",3,1,0,0,1
"Z",3,1,0,0,2
"Z",3,1,0,0,3
"Z",3,1,0,0,4
"Z",4,1,1,0,0
"Z",4,1,2,0,0
"Z",4,1,3,0,0
"Z",4,1,4,0,0
"Z",4,1,0,1,0
"Z",4,1,0,2,0
"Z",4,1,0,3,0
"Z",4,1,0,4,0
"Z",4,1,0,0,1
"Z",4,1,0,0,2
"Z",4,1,0,0,3
"Z",4,1,0,0,4
"Z",0,2,1,0,0
"Z",0,2,2,0,0
"Z",0,2,3,0,0
"Z",0,2,4,0,0
"Z",0,2,0,1,0
"Z",0,2,0,2,0
"Z",0,2,0,3,0
"Z",0,2,0,4,0
"Z",0,2,0,0,1
"Z",0,2,0,0,2
"Z",0,2,0,0,3
"Z",0,2,0,0,4
"Z",1,2,1,0,0
"Z",1,2,2,0,0
"Z",1,2,3,0,0
"Z",1,2,4,0,0
"Z",1,2,0,1,0
"Z",1,2,0,2,0
"Z",1,2,0,3,0
"Z",1,2,0,4,0
"Z",1,2,0,0,1
"Z",1,2,0,0,2
"Z",1,2,0,0,3
"Z",1,2,0,0,4
"Z",2,2,1,0,0
"Z",2,2,2,0,0
"Z",2,2,3,0,0
