"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",4,0,0,0
"5",1,1,0,0
"6",1,1,1,0
"7",1,1,1,1
"8",2,1,0,0
"9",2,2,0,0
"10",2,1,1,0
"11",2,1,1,1
"12",3,1,0,0
"13",3,2,0,0
"14",3,3,0,0
"15",3,1,1,0
"16",3,1,1,1
"17",4,1,0,0
"18",4,2,0,0
"19",4,3,0,0
"20",4,4,0,0
"21",4,1,1,0
"22",4,1,1,1
"23",2,2,1,0
"24",2,2,2,0
"25",2,2,1,1
"26",3,2,1,0
"27",3,2,2,0
"28",3,2,1,1
"29",4,2,1,0
"30",4,2,2,0
"31",4,2,1,1
"32",3,3,1,0
"33",3,3,2,0
"34",3,3,3,0
"35",3,3,1,1
"36",4,3,1,0
"37",4,3,2,0
"38",4,3,3,0
"39",4,3,1,1
"40",4,4,1,0
"41",4,4,2,0
"42",4,4,3,0
"43",4,4,4,0
"44",4,4,1,1
"45",2,2,2,1
"46",2,2,2,2
"47",3,2,2,1
"48",3,2,2,2
"49",4,2,2,1
"50",4,2,2,2
"51",3,3,2,1
"52",3,3,2,2
"53",4,3,2,1
"54",4,3,2,2
"55",4,4,2,1
"56",4,4,2,2
"57",3,3,3,1
"58",3,3,3,2
"59",3,3,3,3
"60",4,3,3,1
"61",4,3,3,2
"62",4,3,3,3
"63",4,4,3,1
"64",4,4,3,2
"65",4,4,3,3
"66",4,4,4,1
"67",4,4,4,2
"68",4,4,4,3
"69",4,4,4,4
"70",0,0,0,0
