"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",3,0,0,0,0
"4",1,1,0,0,0
"5",1,1,1,0,0
"6",1,1,1,1,0
"7",1,1,1,1,1
"8",2,1,0,0,0
"9",2,2,0,0,0
"10",2,1,1,0,0
"11",2,1,1,1,0
"12",2,1,1,1,1
"13",3,1,0,0,0
"14",3,2,0,0,0
"15",3,3,0,0,0
"16",3,1,1,0,0
"17",3,1,1,1,0
"18",3,1,1,1,1
"19",2,2,1,0,0
"20",2,2,2,0,0
"21",2,2,1,1,0
"22",2,2,1,1,1
"23",3,2,1,0,0
"24",3,2,2,0,0
"25",3,2,1,1,0
"26",3,2,1,1,1
"27",3,3,1,0,0
"28",3,3,2,0,0
"29",3,3,3,0,0
"30",3,3,1,1,0
"31",3,3,1,1,1
"32",2,2,2,1,0
"33",2,2,2,2,0
"34",2,2,2,1,1
"35",3,2,2,1,0
"36",3,2,2,2,0
"37",3,2,2,1,1
"38",3,3,2,1,0
"39",3,3,2,2,0
"40",3,3,2,1,1
"41",3,3,3,1,0
"42",3,3,3,2,0
"43",3,3,3,3,0
"44",3,3,3,1,1
"45",2,2,2,2,1
"46",2,2,2,2,2
"47",3,2,2,2,1
"48",3,2,2,2,2
"49",3,3,2,2,1
"50",3,3,2,2,2
"51",3,3,3,2,1
"52",3,3,3,2,2
"53",3,3,3,3,1
"54",3,3,3,3,2
"55",3,3,3,3,3
"56",0,0,0,0,0
